Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2015-04-13,154.35154724121094,154.7467536132689,151.43137473759822,152.37549450532367,11311123
2015-04-15,155.8665313720703,157.4693285367388,154.30764602953795,155.4493638428772,18165922
2015-04-16,153.7367706298828,156.50324653498245,152.22179722058522,154.9443613067689,8168670
2015-04-17,154.50523376464844,155.12000967158667,152.68287761014386,153.91241898622167,9146535
2015-04-20,150.135986328125,154.61503409093214,149.56512218296342,154.61503409093214,11709786
2015-04-21,150.15792846679688,153.12201292615418,149.7407609470518,150.11401664565525,11309747
2015-04-22,150.79466247558594,151.4972620860525,148.6649233892399,149.3016500458691,11183242
2015-04-23,150.2238311767578,152.1559725653453,148.55516076721375,150.7946849646852,9268343
2015-04-24,152.7926788330078,153.67092574987956,149.8066434907639,150.17989921326938,17985818
2015-04-27,151.431396484375,154.48330488361916,151.14597483802137,153.20985150853318,9732828
2015-04-28,148.22581481933594,151.49727196233542,146.49127159173847,151.4533601361811,11098180
2015-04-29,144.0980682373047,147.5451728482528,143.72481247840693,147.12800526112008,10479677
2015-04-30,141.55113220214844,144.2078235541954,141.04614102520236,143.94435261956252,20809376
2015-05-04,144.99826049804688,145.30564328416585,140.56312426141395,142.01222497663247,7487026
2015-05-05,143.2637481689453,144.47133922943846,142.10006894131726,144.2956814601761,13976353
2015-05-06,139.79464721679688,143.96631205044386,138.85052738880663,143.1539276882152,20990280
2015-05-07,141.63894653320312,142.14393767694227,138.58704897989202,139.860502184678,11010190
2015-05-08,144.0321807861328,144.60304493355838,141.68287211740426,142.95633588370745,12625098
2015-05-11,143.35159301757812,145.23982298540287,142.4513950919214,144.91047897134686,9134733
2015-05-12,142.38546752929688,144.0321765304934,141.88047635141797,143.81261741789373,14846868
2015-05-13,143.96633911132812,144.82262501863124,140.95834221207124,143.52721037178196,11037270
2015-05-14,142.58306884765625,143.59305115310815,141.57308654220435,143.59305115310815,8347876
2015-05-15,143.32957458496094,143.98826234977153,142.64893612814964,142.7587209015512,5659055
2015-05-18,146.22779846191406,146.62301532923073,143.2637241460402,143.7248035327095,7175678
2015-05-19,146.03018188476562,147.50124361374222,145.23976906981073,145.67888730034124,8901031
2015-05-20,145.7667236328125,146.7547553941959,145.1299969242279,146.00824389952408,5360856
2015-05-21,143.76873779296875,146.40346860982208,143.15396170220865,146.22782128040544,7458421
2015-05-22,144.5371551513672,146.33756059386874,142.91240742148418,144.47129264220902,12962351
2015-05-25,139.11399841308594,142.4952397629223,138.93834070066708,141.1559136372447,24332194
2015-05-26,137.8844757080078,139.42141056081726,137.3355726401046,139.42141056081726,11448185
2015-05-27,139.5092010498047,139.97028035225068,137.88444292742403,138.32357154002884,9485450
2015-05-28,141.15591430664062,141.59503249527376,138.98225317841002,139.6848527180217,20765291
2015-05-29,143.636962890625,144.88845498828587,139.92637754235182,141.39743917934877,20563442
2015-06-01,145.8106231689453,146.55713460069182,142.93437265659207,142.93437265659207,10448028
2015-06-02,139.92640686035156,144.60306367306075,139.4653274316168,144.42741635502867,11266482
2015-06-03,136.44827270507812,140.68427233293644,134.7449164006989,140.6618545627624,21470134
2015-06-04,135.1931610107422,137.45684429522117,133.66910429627617,136.7172283800416,11429057
2015-06-05,136.40342712402344,138.01714406736966,132.23468143918197,135.1259127532758,17605227
2015-06-08,136.4258270263672,138.17401837693473,135.48449404181778,137.61370213897254,10689359
2015-06-09,134.7449188232422,135.8207267497621,134.34149484635995,135.32764234540542,10292547
2015-06-10,134.96902465820312,136.00000755634932,133.8483919997688,134.74490025748275,9861385
2015-06-11,133.15359497070312,135.3724530739425,132.32432939835886,135.3724530739425,11520780
2015-06-12,133.37771606445312,134.54317352118784,132.2346763736324,133.04152415956523,8653038
2015-06-15,133.80355834960938,135.70863161311522,131.78641756567248,133.13117453668647,8680427
2015-06-16,134.00526428222656,134.54316276317167,132.34672265631747,133.57942265739626,8231138
2015-06-17,134.96902465820312,135.8655329159171,133.24325079040756,133.80356711962472,10881861
2015-06-18,135.32763671875,136.44826948499647,134.56561368298918,135.01386252755438,11296145
2015-06-19,136.71719360351562,136.91890020327193,135.5517362583598,135.73103574917906,8757082
2015-06-22,139.13775634765625,139.9221969378689,136.58271732488365,137.25509040728141,7197508
2015-06-23,140.99803161621094,141.19974890710395,137.88267576543356,139.13778308189904,7586161
2015-06-24,140.5946044921875,142.58932762345793,139.4291469637693,141.28939545577984,7368751
2015-06-25,140.0118865966797,141.40147933944027,138.84642893344514,139.22744578283917,10885448
2015-06-26,138.03955078125,140.01186674861583,137.63612687399285,140.01186674861583,5507615
2015-06-29,138.93606567382812,139.3843251360087,136.1569017586055,136.80686785667635,9719271
2015-06-30,141.26699829101562,142.0290320127899,138.08439939988057,139.04815043737955,11639874
2015-07-01,140.57217407226562,141.82728124722064,140.0791004393599,141.31178984903988,8850821
2015-07-02,141.22213745117188,142.23071311818956,140.52734656313635,140.79629581240857,6562181
2015-07-03,141.4686737060547,142.05140771007035,140.01184935084632,140.8859503568698,5122200
2015-07-06,142.7238006591797,142.83586818472,139.85498707753553,140.2584109907827,4419337
2015-07-07,142.2531280517578,143.12722914221263,141.6928117575425,142.83586211206102,7595780
2015-07-08,140.28082275390625,141.64799759859767,138.68952350553573,141.2669807849269,11611813
2015-07-09,139.22743225097656,141.15492342566145,138.89124031919636,140.21359027860993,6711914
2015-07-10,138.91366577148438,139.72051366659187,137.41201620667348,138.51023116909747,7493999
2015-07-13,141.02044677734375,141.82729461633653,138.48781442342423,140.30323804340662,6623752
2015-07-14,139.98947143554688,141.87212714958923,139.24985554915528,140.72908732193847,5465329
2015-07-15,140.75148010253906,141.28938929094062,139.56361551349016,139.56361551349016,5687830
2015-07-16,142.52207946777344,143.39618057142638,139.98945787735207,141.11009048270324,5838516
2015-07-17,144.4720001220703,145.18919822909675,142.38761648644265,142.79105107647786,6133622
2015-07-20,143.66514587402344,144.9874959054716,143.08242239471565,144.24788000816437,4946419
2015-07-21,140.48252868652344,144.53921735704319,140.07910479251817,143.6651269259492,7069753
2015-07-22,140.9756317138672,142.52209550703685,139.2722648477192,139.89982386546666,8060271
2015-07-23,141.24456787109375,142.29795785253935,139.85498597052052,141.24456787109375,5631003
2015-07-24,140.99803161621094,141.46869819173958,140.0791162329563,141.19974890710395,4199466
2015-07-27,139.69810485839844,140.4601385160366,138.86883920439988,139.630862207205,5315522
2015-07-28,139.4963836669922,140.70666611603679,138.75676779866856,139.83257560391186,6795594
2015-07-29,136.26898193359375,139.8550156248821,134.7449250731803,139.40675608605383,9718356
2015-07-30,141.62557983398438,142.47725250391065,134.47594263793343,136.26894838734688,20744023
2015-07-31,146.13052368164062,146.75808264697758,141.33421897488287,142.52208360432573,16948958
2015-08-03,148.61831665039062,149.4924070394726,145.72708557856998,146.13050945318523,14905871
2015-08-04,147.8787384033203,148.61835435517264,145.4805803476118,148.57352946884322,10317915
2015-08-05,148.7304229736328,149.29073938421817,146.39950755798444,147.8787394723829,5929897
2015-08-06,146.24258422851562,148.3717818769403,145.2340085096578,148.17007525703414,8786024
2015-08-07,145.43572998046875,145.95122141035822,144.33751513039195,145.23401269991095,4644064
2015-08-10,143.86685180664062,146.690840523646,143.14964308010275,145.45815101048586,5799938
2015-08-11,143.48582458496094,144.2926830118751,141.80487574420812,143.48582458496094,5520369
2015-08-12,141.98419189453125,143.44101652493978,141.64799995600114,143.44101652493978,12386018
2015-08-13,141.8048858642578,143.3065353072701,135.8207058593377,142.27555242564472,6900635
2015-08-14,142.6117706298828,143.55309327129544,141.02047113476723,142.32040353250463,7890438
2015-08-17,142.0514373779297,143.35136962166757,141.42387836983227,143.12724520978742,4495638
2015-08-18,141.13250732421875,142.8134563481331,140.12394217180324,141.87212318996782,9429541
2015-08-19,142.0514373779297,142.54451108406604,138.51022905089133,140.75149447935883,7657887
2015-08-20,147.63217163085938,148.08043107438422,141.80488410369375,142.58932481132203,18701959
2015-08-21,148.2597198486328,148.50625133713683,144.67368717956626,147.4528614326097,18452566
2015-08-24,143.53067016601562,147.69942687579393,141.46870425247297,143.9116869963224,17120031
2015-08-25,143.39622497558594,146.19780735650355,140.07915101038608,144.3599654788809,22094589
2015-08-26,142.3876190185547,143.82203656778177,140.57219529561067,142.36521190472806,16777892
2015-08-27,145.9960479736328,146.82531356242367,141.80488449585312,145.00988998094957,20810590
